VAR,Variable,UNIT,Measure,COU,Country,YEA,dim.YEAR,Value,Flag Codes,Flags
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,1997,1997,77.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,1998,1998,77.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,1999,1999,77.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2000,2000,77.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2001,2001,78.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2002,2002,78.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2003,2003,78.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2004,2004,79,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2005,2005,79.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2006,2006,79.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2007,2007,79.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2008,2008,79.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2009,2009,80.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2010,2010,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2011,2011,80.7,B,Break
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2012,2012,80.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2013,2013,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,BEL,Belgium,2014,2014,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,1995,1995,77.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,1996,1996,78.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,1997,1997,78.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,1998,1998,78.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,1999,1999,78.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2000,2000,79,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2001,2001,79.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2002,2002,79.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2003,2003,79.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2004,2004,79.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2005,2005,80,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2006,2006,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2007,2007,80.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2008,2008,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2009,2009,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2010,2010,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2011,2011,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2012,2012,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2013,2013,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CAN,Canada,2014,2014,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,1995,1995,73.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,1996,1996,74,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,1997,1997,74.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,1998,1998,74.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,1999,1999,74.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2000,2000,75.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2001,2001,75.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2002,2002,75.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2003,2003,75.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2004,2004,75.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2005,2005,76.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2006,2006,76.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2007,2007,77,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2008,2008,77.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2009,2009,77.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2010,2010,77.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2011,2011,78,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2012,2012,78.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2013,2013,78.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,CZE,Czech Republic,2014,2014,78.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,1995,1995,75.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,1996,1996,75.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,1997,1997,76.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,1998,1998,76.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,1999,1999,76.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2000,2000,76.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2001,2001,77,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2002,2002,77.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2003,2003,77.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2004,2004,77.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2005,2005,78.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2006,2006,78.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2007,2007,78.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2008,2008,78.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2009,2009,79,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2010,2010,79.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2011,2011,79.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2012,2012,80.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2013,2013,80.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DNK,Denmark,2014,2014,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,1995,1995,76.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,1996,1996,76.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,1997,1997,77.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,1998,1998,77.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,1999,1999,77.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2000,2000,77.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2001,2001,78.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2002,2002,78.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2003,2003,78.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2004,2004,79,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2005,2005,79.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2006,2006,79.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2007,2007,79.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2008,2008,79.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2009,2009,80.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2010,2010,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2011,2011,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2012,2012,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2013,2013,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FIN,Finland,2014,2014,81.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,1995,1995,78.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,1996,1996,78.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,1997,1997,78.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,1998,1998,78.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,1999,1999,78.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2000,2000,79.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2001,2001,79.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2002,2002,79.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2003,2003,79.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2004,2004,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2005,2005,80.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2006,2006,81,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2007,2007,81.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2008,2008,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2009,2009,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2010,2010,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2011,2011,82.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2012,2012,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2013,2013,82.3,B,Break
EVIETOTA,Total population at birth,EVIDUREV,Years,FRA,France,2014,2014,82.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,1995,1995,76.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,1996,1996,76.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,1997,1997,77.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,1998,1998,77.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,1999,1999,77.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2000,2000,78.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2001,2001,78.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2002,2002,78.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2003,2003,78.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2004,2004,79.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2005,2005,79.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2006,2006,79.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2007,2007,80.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2008,2008,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2009,2009,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2010,2010,80.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2011,2011,80.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2012,2012,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2013,2013,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,DEU,Germany,2014,2014,81.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,1995,1995,77.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,1996,1996,78,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,1997,1997,78.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,1998,1998,78.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,1999,1999,78.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2000,2000,78.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2001,2001,79.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2002,2002,79.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2003,2003,79.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2004,2004,79.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2005,2005,79.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2006,2006,79.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2007,2007,79.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2008,2008,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2009,2009,80.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2010,2010,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2011,2011,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2012,2012,80.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2013,2013,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,GRC,Greece,2014,2014,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,1995,1995,70.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,1996,1996,70.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,1997,1997,71.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,1998,1998,71.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,1999,1999,71.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2000,2000,71.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2001,2001,72.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2002,2002,72.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2003,2003,72.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2004,2004,73,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2005,2005,73,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2006,2006,73.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2007,2007,73.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2008,2008,74.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2009,2009,74.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2010,2010,74.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2011,2011,75,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2012,2012,75.2,B,Break
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2013,2013,75.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,HUN,Hungary,2014,2014,75.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,1995,1995,78.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,1996,1996,78.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,1997,1997,79,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,1998,1998,79.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,1999,1999,79.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2000,2000,79.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2001,2001,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2002,2002,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2003,2003,81,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2004,2004,81.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2005,2005,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2006,2006,81.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2007,2007,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2008,2008,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2009,2009,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2010,2010,82,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2011,2011,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2012,2012,83,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2013,2013,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ISL,Iceland,2014,2014,82.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,1995,1995,75.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,1996,1996,75.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,1997,1997,76.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,1998,1998,76.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,1999,1999,76.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2000,2000,76.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2001,2001,77.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2002,2002,77.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2003,2003,78.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2004,2004,78.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2005,2005,79,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2006,2006,79.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2007,2007,79.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2008,2008,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2009,2009,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2010,2010,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2011,2011,80.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2012,2012,80.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2013,2013,81,,
EVIETOTA,Total population at birth,EVIDUREV,Years,IRL,Ireland,2014,2014,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,1995,1995,78.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,1996,1996,78.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,1997,1997,78.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,1998,1998,79.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,1999,1999,79.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2000,2000,79.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2001,2001,80.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2002,2002,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2003,2003,80.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2004,2004,80.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2005,2005,80.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2006,2006,81.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2007,2007,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2008,2008,81.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2009,2009,81.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2010,2010,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2011,2011,82.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2012,2012,82.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2013,2013,82.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,ITA,Italy,2014,2014,83.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,1995,1995,79.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,1996,1996,80.3,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,1997,1997,80.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,1998,1998,80.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,1999,1999,80.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2000,2000,81.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2001,2001,81.5,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2002,2002,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2003,2003,81.8,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2004,2004,82.1,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2005,2005,82,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2006,2006,82.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2007,2007,82.6,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2008,2008,82.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2009,2009,83,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2010,2010,82.9,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2011,2011,82.7,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2012,2012,83.2,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2013,2013,83.4,,
EVIETOTA,Total population at birth,EVIDUREV,Years,JPN,Japan,2014,2014,83.7,,
